municipio,hotel,cod_caminho
Barroso,"Pouso do Bizuca",03
Barroso,"Hospedaria da lucia",03
Barroso,"Casa com piscina temporada Tiradentes do mazinho",03
Barroso,"Pousada Bárbara Heliodora",03
Barroso,"Pousada Vó Iris",03
Barroso,"Segredo da Serra Guest House",03
Barroso,"Chalé das Flores",03
Barroso,"Casa Alisson",03
Barroso,"Du Malta",03
Barroso,"Chalés Recanto do Trevo",03
Barroso,"Casa agradável em Tiradentes",03
Barroso,"Village Plaza Hotel",03
"Belo Vale","Pousada Princesa Do Vale",03
"Belo Vale","Hotel H2 Congonhas",03
"Belo Vale","Solar boa vista",03
"Belo Vale","Pouso do Bação - Itabirito MG - São Gonçalo do Bação",03
"Belo Vale","Casa de Veraneio Villa Lopes",03
Bichinho,"Pouso do Bichinho 1",03
Bichinho,"Pousada Cantagalo Bichinho MG",03
Bichinho,"Casa Verde-Casa de Temporada no Bichinho",03
Bichinho,"Casa de Adobe Casa de Temporada no Bichinho-MG",03
Bichinho,"Pousada Cipo Artes",03
Bichinho,"Pousada Quatro Estações",03
Bichinho,"Pousada Campestre Vila Tiradentes",03
Bichinho,"Pousada Vó Iris",03
Bichinho,"Pouso do Bizuca",03
Bichinho,"Du Malta",03
Bichinho,"Casa com piscina temporada Tiradentes do mazinho",03
Bichinho,"Pousada Bárbara Heliodora",03
Bichinho,"Chalés do Apolinário",03
Bichinho,"Segredo da Serra Guest House",03
Bichinho,"Chalé das Flores",03
Bichinho,"Casa Alisson",03
Bichinho,"Hospedaria da lucia",03
Bichinho,"Casa agradável em Tiradentes",03
Bichinho,"Flat dos Bandeirantes",03
Bichinho,"Hotel Fazenda Pontal de Tiradentes",03
Bichinho,"Chalés Recanto do Trevo",03
Bichinho,"Casa com bangalôs agradável e tranquilo",03
Bichinho,"Hotel Fazenda Bela Vista",03
Bichinho,"Pousada Clube Santa Cruz",03
Bichinho,"Pousada Morada Do Sol mg",03
"Cachoeira Paulista","Videiras Palace Hotel",03
"Cachoeira Paulista","Pousada Cereja",03
"Cachoeira Paulista","Pousada Videiras Santa Rita de Cássia",03
"Cachoeira Paulista","Domus Angelis",03
"Cachoeira Paulista","ibis budget Lorena",03
"Cachoeira Paulista","ibis Lorena",03
"Cachoeira Paulista","Sítio Serra do Gigante",03
"Cachoeira Paulista","CASA BELA VISTA MANTIQUEIRA",03
"Cachoeira Paulista","Kafé Hotel",03
Carrancas,"Pousada Ceu e Serra",03
Carrancas,"Pousada Canto Do Aconchego",03
Carrancas,"Hospedaria Vó Zazá",03
Carrancas,"Pousada Sitio da Serra",03
Carrancas,"Pousada Chalé Terra Viva",03
Carrancas,"Hospedaria Vó Zazá - Anexo",03
Carrancas,"CHALÉ ADOBE",03
Carrancas,"Quitinete Florarte",03
Caxambu,"Hotel Bragança",03
Caxambu,"Studio em Caxambu",03
Caxambu,"Loft no Circuito das Águas Minerais",03
Caxambu,"Quinta da Ana",03
Caxambu,"Casa de campo Recanto Pedra Azul",03
Caxambu,"Pousada Cachoeirinha",03
Caxambu,"Recanto Trilha da Pesca",03
Caxambu,"Hostel Montanha Sagrada",03
Caxambu,"Studio em linda Área Preservada",03
